poi_id,log_volume,food_positive,food_negative,service_positive,service_negative,ambience_positive,ambience_negative,price_positive,price_negative
kxX2SOes4o-D3ZQBkiMRfA,1.0621,0.0853,0.0332,0.0158,0.0063,0.0,0.0,0.0133,0.0052
MWmXGQ98KbRo3vsS5nZhMA,0.6508,0.0353,0.0186,0.0095,0.005,0.0,0.0,0.0103,0.0054
WCVFqK84i2H5EClSoow7ZA,0.6207,0.0497,0.0195,0.0,0.0,0.0,0.0,0.0071,0.0028
D5V0Fawd6ODVgqCY8xngsw,1.0666,0.0836,0.0369,0.0138,0.0061,0.0,0.0,0.0136,0.006
Zx7n8mdt8OzLRXVzolXNhQ,1.5694,0.1173,0.058,0.0295,0.0146,0.0051,0.0027,0.0321,0.0161
hAmuto6UndVroyd_DaD-TA,1.0484,0.0717,0.0318,0.0172,0.0075,0.0,0.0,0.0196,0.0086
WaRZsQEcEHwRk0T2dJ-cuA,0.6716,0.0505,0.0177,0.0074,0.0026,0.0,0.0,0.0068,0.0024
G-zzByEfv2oqjcxYmPsjtA,1.0255,0.0834,0.037,0.008,0.0039,0.0,0.0,0.0133,0.006
W8Z4rXYkmZlEVSaxIVjyvg,1.3218,0.0927,0.0469,0.0222,0.0113,0.0,0.0,0.0282,0.0143
roc-xyyzN5b_nImb0NdRLQ,0.6207,0.0497,0.0195,0.0,0.0,0.0,0.0,0.0071,0.0028
NdqATFd0JsFzEOD8Z8pa5w,1.3372,0.1022,0.0496,0.0246,0.012,0.0,0.0,0.0208,0.0102
ORL4JE6tz3rJxVqkdKfegA,1.3363,0.1003,0.0502,0.0242,0.0121,0.0,0.0,0.0215,0.0108
cg4JFJcCxRTTMmcg9O9KtA,1.3339,0.0915,0.0445,0.0239,0.0117,0.0,0.0,0.0314,0.0155
W4ZEKkva9HpAdZG88juwyQ,1.3246,0.1154,0.0513,0.0165,0.0079,0.0,0.0,0.0175,0.0078
h8iDZcXLDicI_Wg8fwl-ig,0.6481,0.0319,0.0171,0.0124,0.0066,0.0,0.0,0.0101,0.0054
LnQRfj3pPz0369stRnwUWw,0.6198,0.0493,0.0192,0.0,0.0,0.0,0.0,0.0076,0.0029
wzE61ThXOdrSegvwSOzf5w,1.0608,0.0801,0.0356,0.0165,0.0074,0.0,0.0,0.0133,0.0059
MaYb7qMN6BomP1zQGj3Wjg,1.0345,0.0902,0.0347,0.0065,0.0025,0.0,0.0,0.0142,0.0054
_ReMedGR8eDM5AgdRK0jCw,0.6198,0.0493,0.0192,0.0,0.0,0.0,0.0,0.0076,0.0029
